,importance,stddev,p_value,n,p99_high,p99_low
DISABLTYX,0.018091174315236287,0.01883302452614017,0.11902620488948355,3,0.12600649331407152,-0.08982414468359894
SEREPEAT,0.014668517339701351,0.0163720511119507,0.13044039771162327,3,0.10848218576874681,-0.0791451510893441
AGE2015,0.013593076256350423,0.003003496786330594,0.007943664590741377,3,0.03080344591094098,-0.003617293398240136
CDOBYY,0.013036304914913774,0.0021828291404648956,0.0046083198820568,3,0.025544157951809948,0.0005284518780175971
GRADE,0.00976255973777529,0.005320352617781837,0.04318343355825568,3,0.04024877023133145,-0.02072365075578087
RACEETH2,0.0077601290030429775,0.0038534045669083392,0.03663646615605007,3,0.029840564489775102,-0.01432030648368915
S16TYPE,0.007050771302096155,0.002869573970275337,0.02551198903220296,3,0.02349374836949151,-0.0093922057652992
DISTASSI,0.006931532212466562,0.0016566467551253083,0.009256731143385865,3,0.01642430183104749,-0.002561237406114367
CDOBMM,0.006594887170466486,0.006736680114606507,0.11602503467707435,3,0.04519681128264561,-0.032007036941712634
DISBLTY2X,0.006042213090226271,0.004118635177400499,0.06310770882957764,3,0.02964244938748617,-0.017558023207033625
CMOVEAGE,0.0038814330453531922,0.002554824357948426,0.05957526685879641,3,0.01852085993036158,-0.010757993839655196
CBLACK,0.0038393513688158576,0.0016564617409718795,0.028405848708114467,3,0.013331060835780732,-0.005652358098149016
SEADPLCXX,0.0037163749408323974,0.005473091057580541,0.18029339683553192,3,0.035077793632168126,-0.02764504375050333
CPLCBRTH,0.003403781952045678,0.005280949292170101,0.190196443503229,3,0.03366420702026543,-0.026856643116174077
S16NUMST,0.0024718956759454866,0.006523570088454242,0.28952206835495453,3,0.039852675705709655,-0.03490888435381868
RACEETHN,0.002437656969257055,0.0033480018511523684,0.16722658744413804,3,0.02162207884872281,-0.016746764910208697
CAMIND,0.0022246454236856486,0.002343293426568269,0.12091548966169148,3,0.015651976614434945,-0.011202685767063649
SESUSOUT,0.002116923865018864,0.005343099382815706,0.2817202449158672,3,0.03273347584469236,-0.028499628114654636
CENGLPRG,0.0016302579600493046,0.008829835068074578,0.38972156402011837,3,0.05222619207332908,-0.04896567615323046
SESUSPIN,0.001410349288378095,0.004701182172999726,0.3275602031046099,3,0.028348644471221995,-0.025527945894465807
SSAMSC,0.001268506207204238,0.0021385409806173677,0.20612526384918545,3,0.013522583176895508,-0.010985570762487034
SCHRTSCHL,0.0010956762803731774,0.006429747236721645,0.3978482769558944,3,0.037938840965345,-0.03574748840459864
SEEXPEL,0.0010560889528379303,0.00045503544686856755,0.028336538420461264,3,0.0036634925239659253,-0.0015513146182900648
Unnamed: 0,0.0007688370432589187,0.004146753942501721,0.3892805568516599,3,0.02453019698274314,-0.022992522896225304
CPACI,0.0006387291208130863,0.00364024473764361,0.3949494454068212,3,0.021497735147772985,-0.020220276906146813
CSEX,0.0006163678679300677,0.0060786677981432774,0.43837969749194816,3,0.03544780843734468,-0.03421507270148454
CASIAN,0.0002563362114604839,0.0013645965722995292,0.3878958859608892,3,0.008075625895919996,-0.007562953472999028
CWHITE,0.00024026105287463148,0.006625885336653883,0.47781664451170053,3,0.03820731880094071,-0.03772679669519144
ZIP18PO2,9.506985223487845e-05,0.009484116842198964,0.493861972496222,3,0.05444011108698389,-0.05424997138251414
S16PBPV,-0.00041391126897501646,0.002332199397405312,0.6062019862789985,3,0.012949849904412428,-0.013777672442362462
CHISPAN,-0.0008392856619714081,0.004352837704709551,0.6149130155253444,3,0.024102957088357645,-0.02578152841230046
CHISPRM,-0.0013662587401612747,0.0008142922839299976,0.9495915927265233,3,0.0032997263466539714,-0.006032243826976521
SEGRADES,-0.0023875942129429526,0.019995316179178393,0.5723523515927968,3,0.11218778484864046,-0.11696297327452636
ZIPLOCL,-0.0025492581613552057,0.011482187794012302,0.6311943512222036,3,0.06324495120079467,-0.06834346752350508
SCPUBPRI,-0.003241858524375011,0.0070022182390151785,0.7466250394635269,3,0.036881628487174856,-0.043365345535924874
ZIPBLHI2,-0.003354937074187251,0.007304583567826688,0.7451357734864208,3,0.038501136801867133,-0.04521101095024163
