,GRADE,SCPUBPRI,DISTASSI,SCHRTSCHL,SSAMSC,SEGRADES,SEADPLCXX,SEREPEAT,SESUSOUT,SESUSPIN,SEEXPEL,CDOBMM,CDOBYY,CPLCBRTH,CMOVEAGE,CHISPAN,CAMIND,CASIAN,CBLACK,CPACI,CWHITE,CHISPRM,CSEX,CENGLPRG,DISABLTYX,DISBLTY2X,RACEETHN,RACEETH2,ZIP18PO2,ZIPBLHI2,ZIPLOCL,S16NUMST,S16PBPV,S16TYPE,AGE2015,target
11654,8,4,2,2,1,1,-1,2,2,2,2,6,2005,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,2,41,2,1,4,10,False
3285,6,4,1,2,1,2,-1,2,2,2,2,2,2007,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,2,3,21,2,1,4,8,False
10862,14,4,2,2,1,1,1,2,2,2,2,4,1999,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,3,4,32,4,1,4,16,False
1515,14,4,1,2,1,3,1,2,2,2,2,3,1999,1,-1,1,2,2,2,2,2,1,1,-1,1,1,3,3,4,4,23,4,1,4,16,False
12433,9,4,1,2,1,2,-1,2,2,2,2,3,2003,1,-1,2,2,1,2,2,2,2,1,-1,2,1,4,4,2,4,21,4,1,4,12,False
13606,13,4,2,2,1,1,2,2,2,2,2,4,2000,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,3,3,21,4,1,4,15,False
10610,6,2,-1,-1,1,1,-1,2,2,2,2,9,2007,1,-1,2,2,2,2,2,1,2,1,-1,1,1,1,1,1,2,41,3,2,2,8,False
10385,2,4,1,2,1,5,-1,2,2,2,2,6,2010,1,-1,2,2,2,2,2,1,2,2,-1,1,1,1,1,3,2,13,2,1,4,5,False
4113,13,4,1,2,1,1,2,2,2,1,2,4,1999,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,2,23,4,1,4,16,False
4674,13,4,1,2,1,3,2,2,2,2,2,11,1999,1,-1,2,2,2,2,2,1,2,2,-1,2,1,1,1,2,2,21,4,1,4,16,False
5318,15,4,1,2,1,1,1,2,2,2,2,11,1997,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,2,2,42,4,1,4,18,False
9427,5,4,2,2,1,1,-1,2,2,2,2,6,2007,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,3,21,2,1,4,8,False
5953,14,4,2,1,1,2,2,2,2,1,1,11,1999,1,-1,1,2,2,2,2,1,2,1,-1,1,1,3,3,3,3,32,4,1,4,16,False
4152,9,4,1,2,1,5,-1,2,2,2,2,4,2004,1,-1,1,2,2,2,2,2,1,2,-1,1,1,3,3,3,4,11,3,1,4,11,False
13550,8,4,1,2,1,1,-1,2,2,2,2,8,2004,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,3,3,21,3,1,4,11,False
3604,14,4,2,1,1,1,2,2,2,2,2,5,1999,1,-1,2,2,2,2,2,1,2,1,-1,1,1,1,1,2,3,41,2,1,4,16,False
3490,15,4,1,2,1,3,2,1,2,2,2,4,1996,1,-1,2,2,2,2,2,1,2,1,-1,1,1,1,1,3,3,21,4,1,4,19,False
10853,12,4,1,2,1,4,2,2,2,2,2,2,2000,1,-1,2,2,2,2,2,1,2,1,-1,1,1,1,1,3,3,32,2,1,4,15,False
3103,6,1,-1,-1,1,3,-1,1,2,2,2,8,2006,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,3,2,12,1,2,1,9,False
2461,15,4,2,2,1,1,1,2,1,1,1,10,1998,1,-1,2,2,2,1,2,2,2,1,-1,2,2,2,2,3,4,21,2,1,4,17,False
6081,14,4,1,2,1,1,1,2,2,2,2,10,1998,1,-1,2,2,2,2,2,1,2,1,2,2,2,1,1,1,2,21,5,1,4,17,False
56,15,4,1,2,1,3,1,2,2,2,2,2,1998,1,-1,2,2,2,2,2,1,2,1,-1,2,1,1,1,1,2,21,5,1,4,17,False
9137,10,4,2,2,1,1,-1,2,2,2,2,9,2002,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,3,3,11,3,1,4,13,True
2620,12,4,1,2,1,1,2,2,2,2,2,8,2001,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,2,2,21,4,1,4,14,False
44,10,4,1,2,1,1,-1,2,2,2,2,2,2003,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,2,1,31,2,1,4,12,False
11127,7,4,1,2,1,3,-1,1,1,1,2,7,2005,1,-1,2,2,2,1,2,2,2,1,-1,2,2,2,2,4,4,21,3,1,4,10,False
756,7,4,2,1,1,2,-1,2,2,2,2,10,2005,1,-1,2,2,2,2,2,1,2,1,-1,1,1,1,1,2,3,31,2,1,4,10,False
11655,4,4,1,2,1,5,-1,2,2,2,2,11,2008,1,-1,2,2,2,2,2,1,2,1,-1,2,1,1,1,2,1,13,1,1,4,7,False
8233,10,1,-1,-1,1,1,-1,2,2,2,2,7,2003,1,-1,2,2,2,2,2,1,2,2,-1,1,1,1,1,2,3,23,1,2,1,12,False
11019,15,4,1,2,1,1,1,1,2,2,2,10,1997,1,-1,1,2,2,2,2,1,2,1,-1,2,2,3,3,1,1,21,4,1,4,18,False
11172,4,4,2,1,1,1,-1,2,2,2,2,9,2009,1,-1,1,2,2,1,2,2,2,1,-1,2,2,3,3,4,4,12,2,1,4,6,False
411,11,4,1,2,1,1,-1,2,2,2,2,2,2002,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,3,1,42,1,1,4,13,False
6639,15,4,1,2,1,2,2,2,2,2,2,6,1998,1,-1,2,2,2,2,2,1,2,1,-1,2,1,1,1,1,1,21,4,1,4,17,False
1661,10,4,1,2,1,1,-1,2,2,2,2,10,2002,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,1,21,3,1,4,13,False
4869,2,1,-1,-1,1,5,-1,2,2,2,2,5,2010,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,2,3,12,2,2,1,5,False
12922,4,4,1,2,1,2,-1,2,2,2,2,3,2009,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,3,4,32,2,1,4,6,False
3685,7,4,1,2,1,1,-1,2,2,2,2,12,2005,1,-1,2,2,1,2,2,2,2,2,2,2,2,4,4,1,3,21,4,1,4,10,False
11151,11,4,1,2,1,1,-1,2,2,2,2,3,2002,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,2,1,13,2,1,4,13,False
8456,2,4,1,2,1,5,-1,2,2,2,2,2,2010,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,2,1,42,2,1,4,5,False
8838,7,4,1,2,1,2,-1,2,1,2,2,11,2005,1,-1,2,2,2,2,2,1,2,2,-1,1,1,1,1,1,1,42,2,1,4,10,False
10647,15,4,2,2,1,2,2,1,2,2,2,8,1997,1,-1,2,2,2,2,2,1,2,2,-1,1,1,1,1,1,2,41,1,1,4,18,False
5706,15,4,1,2,1,1,2,2,2,2,2,10,1997,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,2,2,41,2,1,4,18,False
7697,5,4,1,2,1,1,-1,2,2,2,2,3,2008,1,-1,1,2,2,2,2,1,2,1,2,2,2,3,3,1,3,21,3,1,4,7,False
3600,15,4,1,2,1,2,1,2,1,2,2,1,1998,1,-1,2,2,2,2,2,1,2,2,-1,1,1,1,1,2,2,21,4,1,4,17,False
4646,9,4,1,2,1,1,-1,2,2,2,2,1,2004,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,3,21,4,1,4,11,False
10167,4,4,1,2,2,1,-1,2,2,2,2,11,2008,3,1,2,2,2,2,1,2,2,2,2,2,2,4,4,3,4,22,2,1,4,7,False
11692,6,1,-1,-1,1,1,-1,2,1,2,2,9,2006,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,3,21,3,2,2,9,False
784,15,4,1,2,1,2,2,2,2,1,2,11,1997,1,-1,2,2,2,1,2,2,2,1,-1,2,2,2,2,1,2,21,5,1,4,18,False
6773,12,4,1,2,1,3,2,2,2,2,2,3,2001,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,1,21,4,1,4,14,False
4051,8,4,1,2,1,1,-1,2,1,1,1,5,2005,3,1,2,2,2,2,2,1,2,2,-1,2,2,1,1,2,4,11,3,1,4,10,False
11524,2,4,1,2,1,1,-1,2,2,2,2,2,2010,1,-1,1,2,2,2,2,2,1,1,-1,2,2,3,3,3,4,11,4,1,4,5,False
9642,14,4,2,2,1,2,2,2,2,2,2,6,1999,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,2,1,41,4,1,4,16,False
3615,11,4,1,2,1,2,-1,2,2,2,2,4,2002,1,-1,2,2,2,1,2,2,2,2,-1,2,2,2,2,3,4,21,3,1,4,13,False
1542,11,4,1,2,1,1,-1,2,2,2,2,3,2002,1,-1,2,2,1,2,2,2,2,1,-1,2,2,4,4,1,3,21,4,1,4,13,False
7611,4,4,1,2,1,5,-1,2,2,2,2,8,2008,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,2,4,21,2,1,4,7,False
9769,10,4,1,2,1,2,-1,2,1,1,2,12,2003,3,2,2,2,2,1,2,2,2,1,2,1,1,2,2,1,4,21,3,1,4,12,False
12498,13,4,1,2,1,4,2,1,1,2,2,11,2000,1,-1,1,2,2,2,2,1,2,2,-1,1,1,3,3,3,4,21,5,1,4,15,False
4558,11,4,1,2,1,1,-1,2,2,2,2,9,2001,3,2,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,2,11,3,1,4,14,False
8526,12,4,1,2,1,3,2,2,2,2,2,12,2000,1,-1,2,2,2,2,2,1,2,1,-1,1,1,1,1,3,4,13,5,1,4,15,False
241,10,4,1,2,1,1,-1,2,2,2,2,6,2003,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,1,21,3,1,4,12,False
5862,13,4,1,2,1,1,1,2,2,2,2,8,1999,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,3,2,41,2,1,4,16,False
2669,7,4,1,2,1,3,-1,2,2,2,2,5,2006,1,-1,2,2,2,1,2,2,2,2,-1,2,2,2,2,3,4,41,1,1,4,9,False
11147,13,4,1,2,1,3,2,2,1,1,2,8,2000,1,-1,2,2,2,2,2,1,2,1,-1,1,1,1,1,1,2,21,4,1,4,15,False
11499,6,4,1,2,1,5,-1,2,2,2,2,5,2007,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,2,21,3,1,4,8,False
3949,15,4,1,2,1,2,1,2,2,2,2,6,1998,1,-1,2,2,2,2,2,1,2,1,-1,1,1,1,1,2,2,41,1,2,1,17,False
8528,6,4,1,2,1,1,-1,2,2,2,2,7,2007,1,-1,2,2,2,1,2,2,2,2,-1,2,2,2,2,1,3,21,2,1,4,8,False
13147,11,4,2,2,1,2,-1,2,2,2,2,12,2001,1,-1,2,2,2,1,2,2,2,2,-1,2,2,2,2,4,4,21,4,1,4,14,False
8714,12,4,1,2,1,2,2,2,2,2,2,4,2002,1,-1,1,2,2,1,2,2,2,2,-1,2,2,3,3,3,4,12,4,1,4,13,False
12253,15,4,1,2,1,1,1,2,2,2,2,5,1998,3,3,1,1,2,2,2,2,2,2,2,2,2,3,3,2,3,13,4,1,4,17,False
9513,5,4,1,2,1,3,-1,2,2,2,2,1,2008,1,-1,2,2,1,2,2,2,2,2,2,2,2,4,4,3,3,11,2,1,4,7,False
13571,11,2,-1,-1,1,2,-1,2,2,2,2,3,2002,1,-1,2,2,2,2,2,1,2,1,-1,2,1,1,1,2,2,11,3,2,2,13,False
1316,11,2,-1,-1,1,1,-1,2,2,2,2,8,2002,1,-1,2,2,2,1,2,2,2,2,-1,2,2,2,2,4,4,11,1,2,2,13,False
